sale_id,sale_date,region_name,country_code,product_sku,product_name,quantity,unit_price,total_revenue,dealer_id,customer_id,customer_segment,discount_amount,cost_of_goods_sold,gross_profit,payment_method,shipment_status,shipping_fee,sales_channel,campaign_id,sales_rep_id,created_ts
1000,2026-01-15,West,IN,SERVICE,Annual Maintenance Pack,3,1500.0,4500.0,D012,CUST723,B2C,279.7,1800.0,2700.0,Invoice,Delivered,20.04,Field Sales,CAMP2002,SR003,2025-11-27 11:56:11.989247
1001,2025-11-12,West,IN,SERVICE,Annual Maintenance Pack,-2,999.0,-1998.0,D014,CUST141,Premium,106.09,799.2,-2797.2,Credit Card,Returned,50.52,Retail,CAMP3003,SR004,2025-11-27 11:56:11.989274
1002,2025-11-19,West,IN,SERVICE,Service Subscription,1,1500.0,1500.0,D020,CUST504,B2B,160.56,600.0,900.0,Cash,Shipped,15.79,Field Sales,CAMP2002,SR001,2025-11-27 11:56:11.989295
1003,2026-01-29,West,IN,SERVICE,Annual Maintenance Pack,5,1200.0,6000.0,D006,CUST933,Premium,181.31,2400.0,3600.0,Credit Card,Shipped,14.99,Field Sales,CAMP3003,SR001,2025-11-27 11:56:11.989312
1004,2025-11-17,West,IN,SERVICE,Annual Maintenance Pack,3,1200.0,3600.0,D013,CUST728,B2B,68.65,1440.0,2160.0,Credit Card,Delivered,59.48,Field Sales,CAMP1001,SR004,2025-11-27 11:56:11.989328
1005,2026-01-10,West,IN,SERVICE,Service Subscription,2,1500.0,3000.0,D004,CUST623,B2B,223.37,1200.0,1800.0,Invoice,Delivered,45.23,Retail,CAMP3003,SR002,2025-11-27 11:56:11.989343
1006,2026-01-09,West,IN,SERVICE,Service Subscription,-2,999.0,-1998.0,D015,CUST997,B2C,62.82,799.2,-2797.2,Credit Card,Returned,59.91,Retail,CAMP3003,SR005,2025-11-27 11:56:11.989358
1007,2026-01-05,West,IN,SERVICE,Service Subscription,3,999.0,2997.0,D012,CUST230,Premium,252.0,1198.8,1798.2,Cash,Shipped,11.92,Retail,CAMP3003,SR002,2025-11-27 11:56:11.989385
1008,2026-01-13,West,IN,SERVICE,Annual Maintenance Pack,-3,1200.0,-3600.0,D007,CUST464,B2B,82.35,1440.0,-5040.0,Credit Card,Returned,36.26,Field Sales,CAMP1001,SR003,2025-11-27 11:56:11.989401
1009,2025-11-08,West,IN,SERVICE,Service Subscription,-4,999.0,-3996.0,D011,CUST465,B2B,262.91,1598.4,-5594.4,Invoice,Cancelled,50.68,Retail,,SR001,2025-11-27 11:56:11.989415
1010,2026-01-19,West,IN,SERVICE,Service Subscription,2,1200.0,2400.0,D014,CUST590,B2B,80.63,960.0,1440.0,Credit Card,Shipped,19.63,Field Sales,CAMP3003,SR002,2025-11-27 11:56:11.989428
1011,2026-01-24,West,IN,SERVICE,Service Subscription,-5,1200.0,-6000.0,D010,CUST814,B2B,289.45,2400.0,-8400.0,Credit Card,Returned,28.05,Web,CAMP2002,SR002,2025-11-27 11:56:11.989441
1012,2025-11-04,West,IN,SERVICE,Annual Maintenance Pack,-4,1500.0,-6000.0,D015,CUST709,Premium,102.51,2400.0,-8400.0,Invoice,Returned,36.82,Retail,CAMP2002,SR004,2025-11-27 11:56:11.989452
1013,2025-12-28,West,IN,SERVICE,Service Subscription,1,1200.0,1200.0,D018,CUST372,B2B,290.76,480.0,720.0,Credit Card,Delivered,57.09,Web,CAMP1001,SR003,2025-11-27 11:56:11.989466
1014,2025-11-03,West,IN,SERVICE,Service Subscription,-6,1200.0,-7200.0,D009,CUST300,B2C,198.3,2880.0,-10080.0,Credit Card,Cancelled,35.79,Field Sales,,SR003,2025-11-27 11:56:11.989478
1015,2025-11-04,West,IN,SERVICE,Annual Maintenance Pack,-3,1200.0,-3600.0,D004,CUST699,B2B,82.58,1440.0,-5040.0,Cash,Returned,24.16,Field Sales,,SR002,2025-11-27 11:56:11.989489
1016,2025-11-03,West,IN,SERVICE,Service Subscription,2,1200.0,2400.0,D004,CUST663,B2B,100.05,960.0,1440.0,Invoice,Shipped,45.27,Retail,CAMP3003,SR004,2025-11-27 11:56:11.989501
1017,2025-12-18,West,IN,SERVICE,Annual Maintenance Pack,4,999.0,3996.0,D020,CUST473,Premium,6.63,1598.4,2397.6,Credit Card,Delivered,42.48,Web,CAMP2002,SR004,2025-11-27 11:56:11.989513
